source_table,source_field,source_code,target_table,target_field,target_code,target_desc,target_domain
nodes,Sub_Type,Type  1,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,Type  5,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,Type 1,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,Type 1 Modified,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,Type 10,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,TYPE 11,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,Type 11,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,Type 12,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,Type 4,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,Type 5,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,Type 9,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Node_Type,VD,SewerStormwater_Nodes,MUNI_TYP_P,,,domain_trww_muni_pt_types
nodes,Sub_Type,VD,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
pipes,US_Node_ID,,SewerStormwater_Segments,UPST_MANH,,,
pipes,DS_Node_ID,,SewerStormwater_Segments,DOWN_MANH,,,
pipes,Height,,SewerStormwater_Segments,PIPE_DIAM,,,
pipes,Width,,SewerStormwater_Segments,PIPE_WIDTH,,,
pipes,Critical, ,SewerStormwater_Segments,CRIT_PIPE,,,domain_trww_yn
pipes,Critical,Critical Modeled,SewerStormwater_Segments,CRIT_PIPE,Y,,domain_trww_yn
pipes,Material, ,SewerStormwater_Segments,PIPE_MATL,,,domain_trww_pipe_material
pipes,Material,AC,SewerStormwater_Segments,PIPE_MATL,AC,,domain_trww_pipe_material
pipes,Material,ACCMP,SewerStormwater_Segments,PIPE_MATL,AC-CMP,,domain_trww_pipe_material
pipes,Material,BR,SewerStormwater_Segments,PIPE_MATL,BR,,domain_trww_pipe_material
pipes,Material,BR/SN,SewerStormwater_Segments,PIPE_MATL,BR-SN,,domain_trww_pipe_material
pipes,Material,CAS,SewerStormwater_Segments,PIPE_MATL,CAS,,domain_trww_pipe_material
pipes,Material,CMP,SewerStormwater_Segments,PIPE_MATL,CMP,,domain_trww_pipe_material
pipes,Material,CO/BR,SewerStormwater_Segments,PIPE_MATL,CO/BR,,domain_trww_pipe_material
pipes,Material,CO/ST,SewerStormwater_Segments,PIPE_MATL,CO/ST,,domain_trww_pipe_material
pipes,Material,CP,SewerStormwater_Segments,PIPE_MATL,CP,,domain_trww_pipe_material
pipes,Material,CT,SewerStormwater_Segments,PIPE_MATL,CT,,domain_trww_pipe_material
pipes,Material,DI,SewerStormwater_Segments,PIPE_MATL,DIP,,domain_trww_pipe_material
pipes,Material,DIP,SewerStormwater_Segments,PIPE_MATL,DIP,,domain_trww_pipe_material
pipes,Material,HDPE,SewerStormwater_Segments,PIPE_MATL,HDPE,,domain_trww_pipe_material
pipes,Material,PE,SewerStormwater_Segments,PIPE_MATL,PE,,domain_trww_pipe_material
pipes,Material,PP,SewerStormwater_Segments,PIPE_MATL,PP,,domain_trww_pipe_material
pipes,Material,PSC,SewerStormwater_Segments,PIPE_MATL,PSC,,domain_trww_pipe_material
