source_field,target_field,source_code,target_code,target_desc
PIPE_MATL,PIPE_MATL,Conc.,CP,concrete pipe (non-reinforced)
PIPE_MATL,PIPE_MATL,Concrete,CP,concrete pipe (non-reinforced)
PIPE_MATL,PIPE_MATL,CP,CP,concrete pipe (non-reinforced)
PIPE_MATL,PIPE_MATL,CPP,CP,concrete pipe (non-reinforced)
PIPE_MATL,PIPE_MATL,CO/BR,CP/BR,concrete/brick
PIPE_MATL,PIPE_MATL,CP/BRICK,CP/BR,concrete/brick
PIPE_MATL,PIPE_MATL,CSU,CSU,Concrete Segments (unbolted)
PIPE_MATL,PIPE_MATL,ClayTile,CT,clay tile
PIPE_MATL,PIPE_MATL,CT,CT,clay tile
PIPE_MATL,PIPE_MATL,DIP,DIP,ductile iron pipe
PIPE_MATL,PIPE_MATL,FRP,FRP,fiberglass  reinforced pipe
PIPE_MATL,PIPE_MATL,GUN,GUN,GUN
PIPE_MATL,PIPE_MATL,HDP,HDP,HDP
PIPE_MATL,PIPE_MATL,HDPE,HDPE,HDPE
PIPE_MATL,PIPE_MATL,sch 17 hdpe,HDPE-SCH17,sch 17 hdpe
PIPE_MATL,PIPE_MATL,LCP,LCP,LCP
PIPE_MATL,PIPE_MATL,LFF,LFF,LFF
PIPE_MATL,PIPE_MATL,LINR,LINR,LINR
PIPE_MATL,PIPE_MATL,PE,PE,polyethylene
PIPE_MATL,PIPE_MATL,PP,PP ,polypropylene
PIPE_MATL,PIPE_MATL,PSC,PSC,plastic/steel composite
PIPE_MATL,PIPE_MATL,PVC,PVC ,polyvinyl chloride
PIPE_MATL,PIPE_MATL,PVC-VCP,PVC-VCP,polyvinyl chloride / vitrified clay pipe
PIPE_MATL,PIPE_MATL,RCC,RCC,RCC
PIPE_MATL,PIPE_MATL,RCP,RCP ,reinforced concrete pipe
PIPE_MATL,PIPE_MATL,abs truss,RPM  ,reinforced plastic pipe - truss pipe
PIPE_MATL,PIPE_MATL,RPM,RPM  ,reinforced plastic pipe -Truss pipe
PIPE_MATL,PIPE_MATL,SDR,SDR,SDR
PIPE_MATL,PIPE_MATL,SDR 21,SDR21,SDR21
PIPE_MATL,PIPE_MATL,SDR21,SDR21,SDR21
PIPE_MATL,PIPE_MATL,SDR 35,SDR35,SDR35
PIPE_MATL,PIPE_MATL,SP,SP ,steel pipe
PIPE_MATL,PIPE_MATL,STL,STL,steel pipe
PIPE_MATL,PIPE_MATL,STL-VC,STL-VC,steel / vitrified clay pipe
PIPE_MATL,PIPE_MATL,TCP,TCP,TCP
PIPE_MATL,PIPE_MATL,TR*,TR*,TR*
PIPE_MATL,PIPE_MATL,TRU,TRU,trunk
PIPE_MATL,PIPE_MATL,TTE,TTE ,transite pipe
PIPE_MATL,PIPE_MATL,UCP,UCP,UCP
PIPE_MATL,PIPE_MATL,UNK,UK,Unknown
PIPE_MATL,PIPE_MATL,VCP,VCP ,vitrified clay pipe
PIPE_MATL,PIPE_MATL,VCP/CIPP,VCP-CIP,VCP-CIP
PIPE_MATL,PIPE_MATL,VCP-CIP,VCP-CIP,VCP-CIP
PIPE_MATL,PIPE_MATL,VCP-DIP-CIP,VCP-DIP-CIP,VCP-DIP-CIP
PIPE_MATL,PIPE_MATL,VYLON,VYLON,VYLON
PIPE_MATL,PIPE_MATL,WIP,WIP,WIP
PIPE_MATL,PIPE_MATL,XXX,XXX,Unknown
PIPE_MATL,PIPE_MATL,ZZZ,ZZZ,Other
PIPE_SHAPE,PIPE_SHAPE, ,,
PIPE_SHAPE,PIPE_SHAPE,,,
PIPE_SHAPE,PIPE_SHAPE,arched,A,Arched
PIPE_SHAPE,PIPE_SHAPE,barrel,B,Barrel
PIPE_SHAPE,PIPE_SHAPE,C,C,Circular
PIPE_SHAPE,PIPE_SHAPE,circular,C,Circular
PIPE_SHAPE,PIPE_SHAPE,Circular,C,Circular
PIPE_SHAPE,PIPE_SHAPE,est_Circular,C,Circular
PIPE_SHAPE,PIPE_SHAPE,channel,CH,Channel
PIPE_SHAPE,PIPE_SHAPE,egg-shaped,E,Egg Shaped
PIPE_SHAPE,PIPE_SHAPE,elliptical,EL,Elliptical
PIPE_SHAPE,PIPE_SHAPE,est_Elliptical,EL,Elliptical
PIPE_SHAPE,PIPE_SHAPE,horseshoe,H,Horseshoe
PIPE_SHAPE,PIPE_SHAPE,oval,O,Oval
PIPE_SHAPE,PIPE_SHAPE,rectangular,R,Rectangular
PIPE_SHAPE,PIPE_SHAPE,square,S,Square
PIPE_SHAPE,PIPE_SHAPE,u-shaped,U,U-Shaped
PIPETYPE,PIPETYPE, ,,
PIPETYPE,PIPETYPE,,,
PIPETYPE,PIPETYPE,force main,FM,Force Main
PIPETYPE,PIPETYPE,gravity,G,Gravity Main
PRMTSTATUS,PRMTSTATUS, ,,
PRMTSTATUS,PRMTSTATUS,,,
PRMTSTATUS,PRMTSTATUS,N,N,No
PRMTSTATUS,PRMTSTATUS,NA,NA,Not Applicable
PRMTSTATUS,PRMTSTATUS,UNK,UK,Unknown
PRMTSTATUS,PRMTSTATUS,Y,Y,Yes
REL_GRADE,REL_GRADE,Above,Above,Above
REL_GRADE,REL_GRADE,Adjusted,Adjusted,Adjusted
REL_GRADE,REL_GRADE,Below,Below,Below
REL_GRADE,REL_GRADE,Buried,Buried,Buried
REL_GRADE,REL_GRADE,Flush,Flush,Flush
REL_GRADE,REL_GRADE,5,UK,Unknown
REL_GRADE,REL_GRADE, ,,
